,Suburb,Location,Region,Reported,Updated,Type,Information
49,Melbourne,Victoria Parade,Melbourne-metropolitan,"7 Jan, 2016 - 8:13 AM","7 Jan, 2016 - 8:14 AM",Traffic Alert - Emergency Works,Left lane closed outbound near Nicholson St for water works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
50,Monash,Stephensons Road,Melbourne-metropolitan,"8 Jan, 2016 - 9:53 AM","8 Jan, 2016 - 4:09 PM",Incident Cleared - Emergency Works,0
51,Maribyrnong,Francis Street,Melbourne-metropolitan,"8 Jan, 2016 - 9:51 AM","8 Jan, 2016 - 4:11 PM",Incident Cleared - Emergency Works,0
52,Bayside,St Kilda Street,Melbourne-metropolitan,"8 Jan, 2016 - 8:15 AM","8 Jan, 2016 - 4:09 PM",Incident Cleared - Emergency Works,0
53,Boroondara,Burke Road,Melbourne-metropolitan,"8 Jan, 2016 - 5:36 AM","8 Jan, 2016 - 9:32 AM",Road Closed - Emergency Works, Fallen power lines after a collision has road closed between Harp Rd and High St. Road expected to remain closed until approx 12pm. 
54,Hume,Horne Street (C706),Melbourne-metropolitan,"8 Jan, 2016 - 1:56 AM","8 Jan, 2016 - 5:24 AM",Incident Cleared - Emergency Works,0
55,Knox,Scoresby Road,Melbourne-metropolitan,"7 Jan, 2016 - 5:30 PM","7 Jan, 2016 - 5:31 PM",Traffic Alert - Emergency Works,Left lane closed northbound near Sandgate Blvd due to burst water main. Speed limit reduced to 40km/h. Works expected to be completed by 8:30pm. 
56,Dandenong,Thompsons Road,Melbourne-metropolitan,"7 Jan, 2016 - 4:45 PM","7 Jan, 2016 - 4:49 PM",Traffic Alert - Vehicle Breakdown,Truck breakdown has eastbound lanes closed between Dandenong-Hastings Rd and Western Port Hwy. Police on site diverting traffic. 
57,Colac-otway,Jamieson Track,Barwon,"7 Jan, 2016 - 3:15 PM",0,Road Closed - Fire,Jamieson Track closed near Great Ocean Rd due to fire. For latest fire updates visit http://emergency.vic.gov.au/ 
58,Colac-otway,Sarsfield Street,Barwon,"7 Jan, 2016 - 3:13 PM",0,Road Closed - Fire,Sarsfield St  closed near Great Ocean Rd due to fire. For latest fire updates visit http://emergency.vic.gov.au/ 
59,Colac-otway,The Boulevarde,Barwon,"7 Jan, 2016 - 3:11 PM","7 Jan, 2016 - 3:12 PM",Road Closed - Fire,The Boulevarde closed near Great Ocean Rd due to fire. For latest fire updates visit http://emergency.vic.gov.au/ 
60,Port-phillip,Beaconsfield Parade,Melbourne-metropolitan,"10 Jan, 2016 - 12:00 AM",0,Sporting/Social Event - road closed,Event from 04:00 AM to 12:00 PM. Event speed limit 40 km/h. Traffic delay 0 to 5 min.
61,Darebin,Murray Road,Melbourne-metropolitan,"9 Jan, 2016 - 1:43 PM","9 Jan, 2016 - 1:45 PM",lanes closed eastbound - Emergency Incident,Murray rd has been closed at grampians st eastbound only due to a power pole downPolice onsite 
62,Whitehorse,Canterbury Road,Melbourne-metropolitan,"9 Jan, 2016 - 6:37 AM","9 Jan, 2016 - 4:56 PM",Incident Cleared - Emergency Works,0
63,Bass-coast,Thompson Avenue (B420),Gippsland,"9 Jan, 2016 - 12:00 AM",0,Sporting/Social Event - road closed,Event from 04:00 PM to 10:30 PM. Event speed limit nil. Traffic delay nil.
64,Ballarat,Midland Highway (A300),Grampians,"9 Jan, 2016 - 12:00 AM","10 Jan, 2016 - 12:00 AM",Sporting/Social Event - road closed,Event from 06:15 AM to 07:30 PM. Event speed limit 40 km/h. Traffic delay 6 to 10 min.
65,Banyule,Lower Heidelberg Road,Melbourne-metropolitan,"8 Jan, 2016 - 11:33 PM","9 Jan, 2016 - 4:56 PM",Incident Cleared - Emergency Works,0
66,Brimbank,Western Ring Road (M80),Melbourne-metropolitan,"8 Jan, 2016 - 4:24 PM","8 Jan, 2016 - 4:40 PM",All Lanes Now Open - Vehicle Collision,0
67,Moreland,Bell Street,Melbourne-metropolitan,"8 Jan, 2016 - 4:06 PM","8 Jan, 2016 - 4:07 PM",Incident Cleared - Emergency Works,0
68,Moreland,Bell Street,Melbourne-metropolitan,"8 Jan, 2016 - 4:00 PM","8 Jan, 2016 - 4:02 PM",Traffic Alert - Emergency Incident,Fault with traffic lights at Cumberland Rd. Expect delays if travelling through the area. 
69,Glen-eira,Centre Road,Melbourne-metropolitan,"8 Jan, 2016 - 10:53 AM","8 Jan, 2016 - 10:54 AM",Traffic Alert - Vehicle Collision,Collision at Dover St has one lane closed in each direction. Emergency Services on site. 
70,Murrindindi,Melba Highway (B300),Hume,"11 Jan, 2016 - 4:19 PM","11 Jan, 2016 - 4:22 PM",Incident Cleared - Emergency Incident,0
71,Murrindindi,Melba Highway (B300),Hume,"11 Jan, 2016 - 3:18 PM","11 Jan, 2016 - 4:26 PM",Road Reopened - Fire,0
72,Manningham,Doncaster Road,Melbourne-metropolitan,"11 Jan, 2016 - 2:11 PM","11 Jan, 2016 - 2:13 PM",All lanes closed westbound - Vehicle Collision,All lanes closed westbound at Victoria St due to a collision. Emergency services are on site. VicRoads advises motorists to seek an alternate route. 
73,Boroondara,Riversdale Road,Melbourne-metropolitan,"11 Jan, 2016 - 10:01 AM","11 Jan, 2016 - 4:28 PM",Incident Cleared - Emergency Works,0
74,Yarra-ranges,Hereford Road (C402),Melbourne-metropolitan,"11 Jan, 2016 - 8:26 AM","11 Jan, 2016 - 4:28 PM",Incident Cleared - Emergency Works,0
75,Kingston,Nepean Highway,Melbourne-metropolitan,"10 Jan, 2016 - 10:23 PM","11 Jan, 2016 - 4:28 PM",Incident Cleared - Vehicle Collision,0
76,Moreland,Gaffney Street,Melbourne-metropolitan,"10 Jan, 2016 - 10:47 AM","10 Jan, 2016 - 4:42 PM",All Lanes Now Open - Vehicle Collision,0
77,Knox,Scoresby Road,Melbourne-metropolitan,"10 Jan, 2016 - 3:41 AM","10 Jan, 2016 - 9:39 AM",Incident Cleared - Emergency Works,0
78,Wyndham,Sayers Road,Melbourne-metropolitan,"10 Jan, 2016 - 3:36 AM","10 Jan, 2016 - 1:18 PM",Road Reopened - Vehicle Collision,0
79,Melbourne,Lansdowne Street,Melbourne-metropolitan,"10 Jan, 2016 - 12:00 AM",0,Sporting/Social Event - road closed,Slide the City - Melbourne Waterslide Event  on Lansdowne Street.  Use detours. Expect traffic delay.
80,Stonnington,Burke Road,Melbourne-metropolitan,"12 Jan, 2016 - 11:12 AM","12 Jan, 2016 - 2:22 PM",Incident Cleared - Emergency Works,0
81,Moreland,Bell Street,Melbourne-metropolitan,"12 Jan, 2016 - 11:08 AM","12 Jan, 2016 - 1:44 PM",Incident Cleared - Emergency Works,0
82,Whitehorse,Elgar Road,Melbourne-metropolitan,"12 Jan, 2016 - 11:06 AM","12 Jan, 2016 - 2:21 PM",Incident Cleared - Emergency Works,0
83,Boroondara,Balwyn Road,Melbourne-metropolitan,"12 Jan, 2016 - 11:03 AM","12 Jan, 2016 - 2:19 PM",Incident Cleared - Emergency Works,0
84,Wyndham,Sayers Road,Melbourne-metropolitan,"12 Jan, 2016 - 11:01 AM","12 Jan, 2016 - 11:02 AM",Traffic Alert - Emergency Works,Right lane closed eastbound near Reflections Blv for water works. Speed limit reduced to 40km/h. Works expected to finish by 3.30pm. VicRoads advises motorists to take care through the area. 
85,Maribyrnong,Francis Street,Melbourne-metropolitan,"12 Jan, 2016 - 10:46 AM","12 Jan, 2016 - 10:48 AM",Traffic Alert - Emergency Works,Left lane closed eastbound near Jewell St for gas works. Speed limit reduced to 40km/h. Works expected to finish by 3.30pm. VicRoads advises motorists to take care through the area. 
86,Maribyrnong,Williamstown Road,Melbourne-metropolitan,"12 Jan, 2016 - 8:54 AM","12 Jan, 2016 - 4:49 PM",Incident Cleared - Emergency Works,0
87,Moreland,Melville Road,Melbourne-metropolitan,"12 Jan, 2016 - 8:52 AM","12 Jan, 2016 - 4:48 PM",Incident Cleared - Emergency Works,0
88,Hume,Tullamarine Freeway,Melbourne-metropolitan,"12 Jan, 2016 - 7:39 AM","12 Jan, 2016 - 8:28 AM",Incident Cleared - Vehicle Collision,0
89,Whitehorse,Highbury Road,Melbourne-metropolitan,"12 Jan, 2016 - 6:43 AM","12 Jan, 2016 - 9:34 AM",Road Reopened - Vehicle Collision,0
90,Casey,Thompsons Road,Melbourne-metropolitan,"13 Jan, 2016 - 9:04 AM","13 Jan, 2016 - 9:05 AM",Traffic Alert - Emergency Works,Left lane closed eastbound at Evans Rd for water works. Speed limit reduced to 40km/h. Works expected to finish by 3.30pm. VicRoads advises motorists to take care through the area. 
91,Yarra-ranges,Melba Highway (B300),Melbourne-metropolitan,"13 Jan, 2016 - 9:00 AM","13 Jan, 2016 - 9:02 AM",Traffic Alert - Emergency Works,Traffic alternated through open lane near St Huberts Rd for power works. Speed limit reduced to 40km/h. Works expected to finish by 12.00pm. VicRoads advises motorists to take care through the area. 
92,Indigo,Gooramadda Road,Hume,"13 Jan, 2016 - 8:03 AM","13 Jan, 2016 - 3:56 PM",Road Reopened - Vehicle Collision,0
93,Glen-eira,East Boundary Road,Melbourne-metropolitan,"13 Jan, 2016 - 7:34 AM","14 Jan, 2016 - 3:48 AM",Incident Cleared - Emergency Works,0
94,Mornington-peninsula,Point Nepean Road (B110),Melbourne-metropolitan,"13 Jan, 2016 - 2:21 AM","13 Jan, 2016 - 8:33 PM",Incident Cleared - Emergency Incident,0
95,Brimbank,Station Road,Melbourne-metropolitan,"12 Jan, 2016 - 6:37 PM","12 Jan, 2016 - 8:43 PM",Road Reopened - Vehicle Collision,0
96,Port-phillip,Beaconsfield Parade,Melbourne-metropolitan,"12 Jan, 2016 - 6:34 PM","12 Jan, 2016 - 6:35 PM",All lanes closed northbound - Vehicle Collision,All lanes closed northbound at Withers St due to a collision. Detour via Withers St. Victoria Police on site. 
97,Mitchell,Hume Freeway (M31),Hume,"12 Jan, 2016 - 3:21 PM","12 Jan, 2016 - 3:34 PM",1 lane closed southbound - Vehicle Breakdown,"Right lane closed southbound near Mia Mia due to a truck breakdown. VicRoads on site. Take care through the area, "
98,Moonee-valley,Tullamarine Freeway,Melbourne-metropolitan,"12 Jan, 2016 - 2:26 PM","12 Jan, 2016 - 2:29 PM",1 lane closed outbound - Vehicle Collision,Right lane closed outbound before Melrose Dve due to a vehicle collision. VicRoads is on site. Delays building on the approach. VicRoads advises motorists to allow extra time. 
99,Dandenong,Abbotts Road,Melbourne-metropolitan,"12 Jan, 2016 - 11:14 AM",0,Traffic Alert - Emergency Works,Left lane closed eastbound at Remington Dve for NBN works. Speed limit reduced to 40km/h. Works expected to finish by 3.30pm. VicRoads advises motorists to take care through the area. 
100,Maribyrnong,Francis Street,Melbourne-metropolitan,"14 Jan, 2016 - 9:55 AM","14 Jan, 2016 - 9:56 AM",Traffic Alert - Emergency Works,Left lane closed eastbound near Jewell St for gas works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
101,Whittlesea,Whittlesea-Yea Road (C725),Melbourne-metropolitan,"14 Jan, 2016 - 9:24 AM","14 Jan, 2016 - 9:25 AM",Traffic Alert - Emergency Works,Traffic may be stopped at times near Humevale Rd while works take place. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
102,Monash,Clayton Road,Melbourne-metropolitan,"14 Jan, 2016 - 9:19 AM","14 Jan, 2016 - 9:20 AM",Traffic Alert - Emergency Works,Burst water main near Strelden Ave. Left lane closed southbound. Speed limit reduced to 40km/h. Works expected to be completed by 12:00pm. 
103,Wodonga,Beechworth-Wodonga Road (C315),Hume,"13 Jan, 2016 - 4:59 PM","21 Jan, 2016 - 4:13 PM",Incident Cleared - Fire,0
104,Melton,Western Freeway (M8),Melbourne-metropolitan,"13 Jan, 2016 - 4:19 PM","13 Jan, 2016 - 4:26 PM",1 lane closed outbound - Vehicle Collision,Right lane closed outbound at Troups Rd due to a collision. Emergency services on site. VicRoads advises motorists to allow extra time. 
105,Indigo,Gooramadda Road,Hume,"13 Jan, 2016 - 4:06 PM","13 Jan, 2016 - 4:58 PM",Road Reopened - Vehicle Collision,0
106,Towong,Omeo Highway (C543),Hume,"13 Jan, 2016 - 2:04 PM","13 Jan, 2016 - 3:52 PM",Road Reopened - Fire,0
107,Yarra-ranges,Wellington Road (C413),Melbourne-metropolitan,"13 Jan, 2016 - 12:48 PM",0,Traffic Alert - Emergency Works,Traffic alternated through open lane between Lysterfield Rd and Ryans Rd for water works. Speed limit reduced to 40km/h. Works expected to finish by 2.00pm. VicRoads advises motorists to take care through the area. 
108,Dandenong,Abbotts Road,Melbourne-metropolitan,"13 Jan, 2016 - 12:46 PM",0,Traffic Alert - Emergency Works,Left lane closed eastbound at Remington Dve for NBN works. Speed limit reduced to 40km/h. Works expected to finish by 3.30pm. VicRoads advises motorists to take care through the area. 
109,Frankston,Nepean Highway,Melbourne-metropolitan,"13 Jan, 2016 - 12:41 PM","13 Jan, 2016 - 12:43 PM",Traffic Alert - Emergency Works,Left lane closed southbound at Seaford Rd due to power works. Speed limit reduced to 40km/h. Works expected to finish by 3.30pm. VicRoads advises motorists to take care through the area. 
110,Kingston,Cheltenham Road,Melbourne-metropolitan,"14 Jan, 2016 - 3:07 PM","14 Jan, 2016 - 8:25 PM",All Lanes Now Open - Emergency Works,0
111,Hobsons-bay,West Gate Freeway (M1),Melbourne-metropolitan,"14 Jan, 2016 - 2:10 PM","14 Jan, 2016 - 2:30 PM",All Lanes Now Open - Vehicle Breakdown,0
112,Brimbank,Station Road,Melbourne-metropolitan,"14 Jan, 2016 - 1:41 PM","14 Jan, 2016 - 8:24 PM",Incident Cleared - Emergency Works,0
113,Knox,Dorset Road,Melbourne-metropolitan,"14 Jan, 2016 - 1:01 PM","14 Jan, 2016 - 1:02 PM",Traffic Alert - Emergency Works,Left lane closed northbound near Short St for power works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
114,Yarra-ranges,Belgrave-Hallam Road (C404),Melbourne-metropolitan,"14 Jan, 2016 - 12:47 PM","14 Jan, 2016 - 12:49 PM",Road Closed - Emergency Works,Power lines down. Road closed between Mt Morton Rd and St Austell Rd. Traffic being diverted. Avoid the area if possible. 
115,Monash,Warrigal Road,Melbourne-metropolitan,"14 Jan, 2016 - 12:30 PM","14 Jan, 2016 - 12:31 PM",Traffic Alert - Emergency Works,Left lane closed northbound near Bossington St for power works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
116,Whitehorse,Canterbury Road,Melbourne-metropolitan,"14 Jan, 2016 - 11:05 AM","14 Jan, 2016 - 11:06 AM",Traffic Alert - Emergency Works,Left lane closed eastbound near Glenburnie Rd due to burst water main. Speed limit reduced to 40km/h. Works expected to be completed by 4:00pm. 
117,Manningham,Wetherby Road,Melbourne-metropolitan,"14 Jan, 2016 - 10:31 AM","14 Jan, 2016 - 10:32 AM",Traffic Alert - Emergency Works,Left lane closed northbound near Doncaster Rd for telecoms works. Speed limit reduced to 40km/h. Works expected to be completed by 1:00pm. 
118,Brimbank,Anderson Road,Melbourne-metropolitan,"14 Jan, 2016 - 10:01 AM","14 Jan, 2016 - 10:02 AM",Traffic Alert - Emergency Works,Left lanes closed in both directions near Sun Crescent for power works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
119,Monash,Blackburn Road,Melbourne-metropolitan,"14 Jan, 2016 - 9:57 AM","14 Jan, 2016 - 10:00 AM",Traffic Alert - Emergency Works,Right lanes closed in both directions at Ferntree Gully Rd for power works. Speed limit reduced to 40km/h. Works expected to be completed by 12:00pm. 
120,Stonnington,Toorak Road,Melbourne-metropolitan,"15 Jan, 2016 - 9:03 AM","15 Jan, 2016 - 9:04 AM",Traffic Alert - Emergency Works,Left lane closed inbound near Glenferrie Rd for gas works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
121,Yarra-ranges,Don Road (C505),Melbourne-metropolitan,"15 Jan, 2016 - 8:46 AM","15 Jan, 2016 - 8:47 AM",Traffic Alert - Emergency Works,Contra flow in place near Old Don Rd for power works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
122,Monash,Monash Freeway (M1),Melbourne-metropolitan,"15 Jan, 2016 - 6:56 AM","15 Jan, 2016 - 7:54 AM",All Lanes Now Open - Vehicle Collision,0
123,Hindmarsh,Western Highway (A8),Grampians,"15 Jan, 2016 - 3:13 AM","15 Jan, 2016 - 2:36 PM",Road Reopened - Vehicle Collision,0
124,Knox,Scoresby Road,Melbourne-metropolitan,"14 Jan, 2016 - 10:23 PM","15 Jan, 2016 - 4:53 AM",Road Reopened - Police Incident,0
125,Kingston,Centre Dandenong Road,Melbourne-metropolitan,"14 Jan, 2016 - 8:43 PM","14 Jan, 2016 - 8:46 PM",Road Closed - Vehicle Collision,"There has been a vehicle collision on Centre Dandenong Rd, Cheltenham. Road closed between Cavanagh St and Warrigal Rd.Please seek alternate route."
126,Melbourne,Citylink,Melbourne-metropolitan,"14 Jan, 2016 - 6:18 PM","14 Jan, 2016 - 6:20 PM",3 lanes closed inbound - Vehicle Collision,Collision inbound near Footscray Rd has 3 lanes closed. Traffic getting through via emergency lane. Emergency Services on site. 
